date,produit,categorie,prix_vente,demande_journaliere,quantite_vendue,ventes_perdues,stock_initial,duree_peremption,temperature,promotion,jour_semaine,weekend,evenement,chiffre_affaires
2022-01-01,Lait_1L,Laitage,1200,199,101,98,101,7,31.66435964585924,0,Saturday,1,Aucun,121200
2022-01-01,Yaourt,Laitage,500,318,229,89,229,5,35.95670655406815,0,Saturday,1,Aucun,114500
2022-01-01,Tomates_kg,Légumes,300,221,167,54,167,5,35.06666547983595,0,Saturday,1,Aucun,50100
2022-01-01,Oignons_kg,Légumes,700,156,101,55,101,10,33.716621259189964,0,Saturday,1,Aucun,70700
2022-01-01,Bananes_kg,Fruits,2500,119,32,87,32,5,36.25103332898953,0,Saturday,1,Aucun,80000
2022-01-01,Poulet_frais,Viandes,1500,101,50,51,50,3,37.497385571363466,0,Saturday,1,Aucun,75000
2022-01-01,Poisson_frais,Poissons,2000,384,298,86,298,2,38.39068458169111,0,Saturday,1,Aucun,596000
2022-01-01,Riz_5kg,Epicerie,400,293,206,87,206,365,36.11935674418826,0,Saturday,1,Aucun,82400
2022-01-01,Sucre_1kg,Epicerie,800,244,113,131,113,730,28.464997259528875,1,Saturday,1,Aucun,90400
2022-01-01,Huile_1L,Epicerie,600,142,122,20,122,550,31.868310775295495,0,Saturday,1,Aucun,73200
2022-01-01,Viandes_kg,Viandes,3700,357,171,186,171,5,42.022239002309135,1,Saturday,1,Aucun,632700
2022-01-02,Lait_1L,Laitage,1200,207,78,129,78,7,38.212955561052105,0,Sunday,1,Aucun,93600
2022-01-02,Yaourt,Laitage,500,327,142,185,142,5,36.74636838413912,0,Sunday,1,Aucun,71000
2022-01-02,Tomates_kg,Légumes,300,259,162,97,162,5,37.66324537878007,0,Sunday,1,Aucun,48600
2022-01-02,Oignons_kg,Légumes,700,149,51,98,51,10,33.56247728646413,0,Sunday,1,Aucun,35700
2022-01-02,Bananes_kg,Fruits,2500,119,69,50,69,5,34.44302307000855,0,Sunday,1,Aucun,172500
2022-01-02,Poulet_frais,Viandes,1500,104,71,33,71,3,37.918890601267364,0,Sunday,1,Aucun,106500
2022-01-02,Poisson_frais,Poissons,2000,362,236,126,236,2,37.38678639168783,0,Sunday,1,Aucun,472000
