date,produit_id,categorie,quantite_vendue,stock_initial,peremption_jours,prix_vente,promotion,temperature_max,pluie_mm,evenement,magasin
2024-10-11,Oignons_kg,legume,90.0,145,5,300,0,38.2,1.5,None,Thies_Centre
2024-09-02,Lait_1L,produit_frais,78.0,217,5,1200,0,31.5,1.6,None,Dakar_Corniche
2023-06-09,Lait_1L,produit_frais,73.0,186,5,1200,0,35.0,1.4,None,Thies_Centre
2024-01-10,Huile_1L,epicerie,102.0,420,10,800,0,32.2,10.2,None,Dakar_Corniche
2023-11-04,Tomates_kg,legume,123.0,116,5,500,0,33.3,6.3,None,Thies_Centre
2022-11-18,Oignons_kg,legume,93.0,498,5,300,0,27.2,2.0,None,Dakar_Corniche
2022-12-09,Bananes_kg,fruit,57.0,340,7,700,0,34.6,0.4,None,Dakar_Corniche
2022-12-18,Bananes_kg,fruit,62.0,378,5,700,1,42.4,2.2,None,Thies_Centre
2022-02-08,Lait_1L,produit_frais,69.0,206,3,1200,0,33.1,7.1,None,Dakar_Corniche
2023-03-08,Lait_1L,produit_frais,78.0,334,7,1200,0,31.2,2.8,None,Saint-Louis_Marche
2022-08-27,Huile_1L,epicerie,103.0,172,10,800,0,30.4,1.0,None,Dakar_Corniche
2023-07-12,Poulet_frais,viande,41.0,414,10,2500,0,32.7,0.3,None,Thies_Centre
2023-03-27,Sucre_1kg,epicerie,101.72669515324507,119,10,400,0,36.0,3.3,Ramadan,Dakar_Corniche
2024-09-30,Tomates_kg,legume,118.0,400,10,500,0,31.2,2.5,None,Saint-Louis_Marche
2022-07-10,Oignons_kg,legume,279.0816736199097,356,14,300,0,37.4,1.0,Tabaski,Dakar_Corniche
2023-04-10,Riz_5kg,epicerie,114.15834543130072,144,5,2000,0,27.3,3.6,Ramadan,Thies_Centre
2022-05-23,Tomates_kg,legume,126.0,426,5,500,0,28.8,4.6,None,Thies_Centre
2022-07-25,Lait_1L,produit_frais,78.0,451,7,1200,0,39.4,4.3,None,Saint-Louis_Marche
2022-01-01,Tomates_kg,legume,125.0,492,7,500,0,31.3,1.6,None,Dakar_Corniche
2022-02-09,Sucre_1kg,epicerie,34.0,475,3,400,0,25.0,0.7,None,Thies_Centre
2022-02-15,Poulet_frais,viande,30.0,459,10,2500,0,45.0,1.6,None,Thies_Centre
2022-09-06,Poisson_frais,poisson,70.0,108,3,1500,0,33.1,0.9,None,Thies_Centre
2024-02-09,Tomates_kg,legume,143.0,477,14,500,1,32.7,1.5,None,Saint-Louis_Marche
2023-09-18,Bananes_kg,fruit,63.0,316,10,700,0,30.6,4.1,None,Thies_Centre
2023-03-15,Sucre_1kg,epicerie,26.0,130,3,400,0,29.0,0.2,None,Thies_Centre
2024-03-10,Poulet_frais,viande,40.0,243,7,2500,0,26.3,0.6,None,Dakar_Corniche
2022-10-12,Sucre_1kg,epicerie,34.0,192,7,400,0,41.9,0.8,None,Saint-Louis_Marche
2022-05-03,Oignons_kg,legume,97.0,186,14,300,0,32.3,2.9,None,Thies_Centre
2022-12-28,Huile_1L,epicerie,96.0,453,7,800,0,35.4,6.7,None,Saint-Louis_Marche
2023-11-02,Sucre_1kg,epicerie,34.0,217,3,400,0,31.0,3.0,None,Thies_Centre
2022-08-19,Lait_1L,produit_frais,68.0,456,7,1200,0,38.6,2.4,None,Saint-Louis_Marche
2023-06-04,Bananes_kg,fruit,47.0,123,10,700,0,32.5,3.3,None,Thies_Centre
2024-12-08,Tomates_kg,legume,110.0,333,10,500,1,34.3,1.9,None,Saint-Louis_Marche
2024-04-05,Bananes_kg,fruit,146.8970002382411,115,7,700,0,25.8,1.8,Ramadan,Thies_Centre
2023-12-29,Lait_1L,produit_frais,80.0,143,14,1200,0,36.5,0.1,None,Thies_Centre
