date,produit,categorie,prix_vente,demande_journaliere,quantite_vendue,ventes_perdues,stock_initial,duree_peremption,temperature,promotion,jour_semaine,weekend,evenement,chiffre_affaires
2022-01-01,Lait_1L,Laitage,1219,197,101,96,101,7,31.66435964585924,0,Saturday,1,Aucun,123119
2022-01-01,Yaourt,Laitage,500,305,100,205,100,5,36.627680130757895,0,Saturday,1,Aucun,50000
2022-01-01,Tomates_kg,Légumes,267,217,119,98,119,5,32.88996859487778,0,Saturday,1,Aucun,31773
2022-01-01,Oignons_kg,Légumes,689,182,90,92,90,10,35.332767769129596,0,Saturday,1,Aucun,62010
2022-01-01,Bananes_kg,Fruits,2463,113,87,26,87,5,33.198083930243584,0,Saturday,1,Aucun,214281
2022-01-01,Poulet_frais,Viandes,1542,91,38,53,38,3,34.98341641303962,0,Saturday,1,Aucun,58596
2022-01-01,Poisson_frais,Poissons,2088,358,103,255,103,2,35.65591494816159,1,Saturday,1,Aucun,215064
2022-01-01,Riz_5kg,Epicerie,409,297,156,141,156,365,34.096688913232136,0,Saturday,1,Aucun,63804
2022-01-01,Sucre_1kg,Epicerie,835,243,88,155,88,730,36.74636838413912,0,Saturday,1,Aucun,73480
2022-01-01,Huile_1L,Epicerie,573,169,51,118,51,550,34.072362872446355,0,Saturday,1,Aucun,29223
2022-01-01,Viandes_kg,Viandes,3950,353,126,227,126,5,37.43757746718259,0,Saturday,1,Aucun,497700
2022-01-02,Lait_1L,Laitage,1163,193,139,54,139,7,37.38678639168783,0,Sunday,1,Aucun,161657
2022-01-02,Yaourt,Laitage,526,347,175,172,175,5,30.74374862422579,0,Sunday,1,Aucun,92050
2022-01-02,Tomates_kg,Légumes,324,259,95,164,95,5,33.44518934517906,1,Sunday,1,Aucun,30780
2022-01-02,Oignons_kg,Légumes,711,156,101,55,101,10,37.746206353106224,0,Sunday,1,Aucun,71811
2022-01-02,Bananes_kg,Fruits,2331,100,62,38,62,5,37.019376508321926,0,Sunday,1,Aucun,144522
2022-01-02,Poulet_frais,Viandes,1568,75,61,14,61,3,31.711202614155933,0,Sunday,1,Aucun,95648
2022-01-02,Poisson_frais,Poissons,1808,377,161,216,161,2,38.79122159229916,1,Sunday,1,Aucun,291088
2022-01-02,Riz_5kg,Epicerie,406,285,187,98,187,365,34.8068658475971,0,Sunday,1,Aucun,75922
2022-01-02,Sucre_1kg,Epicerie,830,241,149,92,149,730,40.92371359086046,1,Sunday,1,Aucun,123670
2022-01-02,Huile_1L,Epicerie,557,173,82,91,82,550,39.2083829328083,0,Sunday,1,Aucun,45674
2022-01-02,Viandes_kg,Viandes,3622,339,159,180,159,5,37.769487825025855,0,Sunday,1,Aucun,575898
2022-01-03,Lait_1L,Laitage,1183,84,68,16,68,7,32.83910602142356,1,Monday,0,Aucun,80444
2022-01-03,Yaourt,Laitage,474,139,139,0,230,5,37.77936907586097,0,Monday,0,Aucun,65886
2022-01-03,Tomates_kg,Légumes,311,100,60,40,60,5,35.77964838274527,0,Monday,0,Aucun,18660
2022-01-03,Oignons_kg,Légumes,722,75,75,0,114,10,38.65121239094033,1,Monday,0,Aucun,54150
2022-01-03,Bananes_kg,Fruits,2347,50,50,0,54,5,35.524499035974415,0,Monday,0,Aucun,117350
2022-01-03,Poulet_frais,Viandes,1600,43,43,0,45,3,37.36125381122736,0,Monday,0,Aucun,68800
2022-01-03,Poisson_frais,Poissons,1924,172,172,0,275,2,34.263835651991386,0,Monday,0,Aucun,330928
2022-01-03,Riz_5kg,Epicerie,417,118,104,14,104,365,36.613880011075985,0,Monday,0,Aucun,43368
2022-01-03,Sucre_1kg,Epicerie,794,121,63,58,63,730,35.12594019341007,0,Monday,0,Aucun,50022
2022-01-03,Huile_1L,Epicerie,574,79,79,0,104,550,34.781513262029385,0,Monday,0,Aucun,45346
2022-01-03,Viandes_kg,Viandes,3399,179,179,0,217,5,30.975789506161505,0,Monday,0,Aucun,608421
2022-01-04,Lait_1L,Laitage,1263,92,72,20,72,7,31.759397389878544,0,Tuesday,0,Aucun,90936
2022-01-04,Yaourt,Laitage,544,130,122,8,122,5,36.3493221154662,0,Tuesday,0,Aucun,66368
2022-01-04,Tomates_kg,Légumes,308,113,66,47,66,5,35.58603941764092,0,Tuesday,0,Aucun,20328
2022-01-04,Oignons_kg,Légumes,770,62,62,0,115,10,30.31832878268819,0,Tuesday,0,Aucun,47740
2022-01-04,Bananes_kg,Fruits,2388,50,50,0,71,5,36.78693095541296,0,Tuesday,0,Aucun,119400
2022-01-04,Poulet_frais,Viandes,1538,32,32,0,68,3,34.85706886652887,0,Tuesday,0,Aucun,49216
2022-01-04,Poisson_frais,Poissons,1797,182,182,0,243,2,36.26694128499219,1,Tuesday,0,Aucun,327054
2022-01-04,Riz_5kg,Epicerie,416,107,107,0,166,365,32.4273533430167,0,Tuesday,0,Aucun,44512
2022-01-04,Sucre_1kg,Epicerie,787,105,60,45,60,730,35.471605565291235,0,Tuesday,0,Aucun,47220
2022-01-04,Huile_1L,Epicerie,630,68,68,0,108,550,41.3664685910379,0,Tuesday,0,Aucun,42840
2022-01-04,Viandes_kg,Viandes,3610,148,148,0,265,5,40.61601704141691,0,Tuesday,0,Aucun,534280
2022-01-05,Lait_1L,Laitage,1231,112,112,0,118,7,34.0268136572978,0,Wednesday,0,Aucun,137872
2022-01-05,Yaourt,Laitage,494,139,95,44,95,5,36.24162451175242,0,Wednesday,0,Aucun,46930
2022-01-05,Tomates_kg,Légumes,327,117,83,34,83,5,37.24731703089297,0,Wednesday,0,Aucun,27141
2022-01-05,Oignons_kg,Légumes,709,50,50,0,79,10,36.340670434322206,1,Wednesday,0,Aucun,35450
2022-01-05,Bananes_kg,Fruits,2660,53,53,0,55,5,31.62514478650143,0,Wednesday,0,Aucun,140980
2022-01-05,Poulet_frais,Viandes,1503,42,42,0,60,3,34.44832478681594,0,Wednesday,0,Aucun,63126
2022-01-05,Poisson_frais,Poissons,2038,166,166,0,276,2,33.15426435269153,0,Wednesday,0,Aucun,338308
2022-01-05,Riz_5kg,Epicerie,387,122,87,35,87,365,36.089208810011925,0,Wednesday,0,Aucun,33669
2022-01-05,Sucre_1kg,Epicerie,787,95,95,0,148,730,37.04585891388489,0,Wednesday,0,Aucun,74765
2022-01-05,Huile_1L,Epicerie,636,78,78,0,113,550,38.195681247640756,0,Wednesday,0,Aucun,49608
2022-01-05,Viandes_kg,Viandes,3774,160,146,14,146,5,40.44099972763672,1,Wednesday,0,Aucun,551004
2022-01-06,Lait_1L,Laitage,1171,83,83,0,95,7,35.18069876446727,0,Thursday,0,Aucun,97193
2022-01-06,Yaourt,Laitage,534,150,150,0,224,5,33.007317670086735,0,Thursday,0,Aucun,80100
2022-01-06,Tomates_kg,Légumes,291,97,97,0,98,5,34.52018441010972,0,Thursday,0,Aucun,28227
2022-01-06,Oignons_kg,Légumes,671,64,64,0,111,10,35.96815568101427,0,Thursday,0,Aucun,42944
2022-01-06,Bananes_kg,Fruits,2505,48,35,13,35,5,36.37302936328652,0,Thursday,0,Aucun,87675
2022-01-06,Poulet_frais,Viandes,1504,54,45,9,45,3,36.420882163182696,0,Thursday,0,Aucun,67680
2022-01-06,Poisson_frais,Poissons,2036,204,204,0,217,2,32.69795731133585,0,Thursday,0,Aucun,415344
2022-01-06,Riz_5kg,Epicerie,383,121,121,0,176,365,41.56940879965302,0,Thursday,0,Aucun,46343
2022-01-06,Sucre_1kg,Epicerie,787,91,91,0,151,730,29.56960602501195,0,Thursday,0,Aucun,71617
2022-01-06,Huile_1L,Epicerie,619,91,73,18,73,550,34.631633752527456,0,Thursday,0,Aucun,45187
2022-01-06,Viandes_kg,Viandes,3918,154,94,60,94,5,38.111475394833874,0,Thursday,0,Aucun,368292
2022-01-07,Lait_1L,Laitage,1273,61,61,0,135,7,35.77600073603065,0,Friday,0,Aucun,77653
2022-01-07,Yaourt,Laitage,537,128,128,0,212,5,40.734588819528284,1,Friday,0,Aucun,68736
2022-01-07,Tomates_kg,Légumes,285,116,116,0,169,5,32.45443790183626,0,Friday,0,Aucun,33060
2022-01-07,Oignons_kg,Légumes,741,69,69,0,93,10,33.72190298430674,0,Friday,0,Aucun,51129
2022-01-07,Bananes_kg,Fruits,2667,54,54,0,59,5,36.241138399856226,0,Friday,0,Aucun,144018
2022-01-07,Poulet_frais,Viandes,1370,48,48,0,63,3,36.57563513807284,0,Friday,0,Aucun,65760
2022-01-07,Poisson_frais,Poissons,2196,166,151,15,151,2,28.912307434718034,1,Friday,0,Aucun,331596
2022-01-07,Riz_5kg,Epicerie,365,126,126,0,212,365,36.937198366169746,1,Friday,0,Aucun,45990
2022-01-07,Sucre_1kg,Epicerie,775,108,108,0,112,730,31.555835281532776,0,Friday,0,Aucun,83700
2022-01-07,Huile_1L,Epicerie,566,74,74,0,119,550,31.694435600054717,0,Friday,0,Aucun,41884
2022-01-07,Viandes_kg,Viandes,3793,117,117,0,244,5,32.04282186099337,0,Friday,0,Aucun,443781
2022-01-08,Lait_1L,Laitage,1071,217,70,147,70,7,33.32292352029843,0,Saturday,1,Aucun,74970
2022-01-08,Yaourt,Laitage,493,321,124,197,124,5,33.12428544933933,0,Saturday,1,Aucun,61132
2022-01-08,Tomates_kg,Légumes,309,221,140,81,140,5,31.821262561350053,0,Saturday,1,Aucun,43260
2022-01-08,Oignons_kg,Légumes,689,157,95,62,95,10,42.12242523020179,0,Saturday,1,Aucun,65455
